Date,Open,High,Low,Close,Adj Close,Volume
2022-11-07,159.000000,161.750000,151.949997,158.350006,149.592224,9508311
2022-11-09,159.199997,166.899994,157.300003,166.300003,157.102524,4042444
2022-11-10,166.000000,168.199997,163.399994,165.449997,156.299545,2798700
2022-11-11,168.000000,168.649994,161.399994,161.750000,152.804184,1900277
2022-11-14,161.649994,165.050003,159.899994,163.949997,154.882492,1497221
2022-11-15,164.300003,165.449997,161.800003,162.949997,153.937805,1596603
2022-11-16,164.000000,165.100006,162.100006,163.350006,154.315689,1091946
2022-11-17,162.600006,164.899994,162.600006,163.649994,154.599091,1607529
2022-11-18,164.399994,165.750000,161.800003,162.800003,153.796112,1446734
2022-11-21,161.699997,164.300003,161.149994,161.850006,152.898651,1090777
2022-11-22,162.199997,167.350006,162.000000,166.800003,157.574875,922881
2022-11-23,167.899994,170.300003,166.250000,168.800003,159.464264,1509263
2022-11-24,169.300003,171.949997,168.899994,170.399994,160.975769,905155
2022-11-25,170.699997,172.649994,166.850006,167.800003,158.519577,1429555
2022-11-28,168.350006,168.800003,166.000000,167.800003,158.519577,1355244
2022-11-29,168.399994,169.500000,167.149994,167.750000,158.472336,644146
2022-11-30,169.199997,169.199997,164.500000,166.199997,157.008057,663705
2022-12-01,167.750000,172.550003,166.399994,171.800003,162.298355,1511726
2022-12-02,171.550003,174.250000,170.649994,171.199997,161.731522,1383852
2022-12-05,171.250000,172.449997,170.300003,172.000000,162.487289,797677
2022-12-06,172.500000,176.100006,172.449997,174.449997,164.801773,2007462
2022-12-07,175.199997,176.850006,173.399994,176.500000,166.738403,1269518
2022-12-08,176.649994,189.399994,176.649994,188.050003,177.649628,3591917
2022-12-09,188.699997,197.199997,184.750000,188.550003,178.121964,3856696
2022-12-12,188.199997,190.699997,185.699997,190.100006,179.586258,1321489
2022-12-13,190.699997,194.649994,190.000000,193.050003,182.373093,1319813
2022-12-14,194.500000,194.949997,191.000000,191.600006,181.003296,1141594
2022-12-15,191.600006,193.199997,183.850006,184.600006,174.390427,1287414
2022-12-16,184.000000,184.899994,181.000000,182.000000,171.934219,1264929
2022-12-19,182.199997,184.199997,180.899994,182.500000,172.406570,824291
2022-12-20,182.500000,184.750000,179.149994,183.649994,173.492966,736977
2022-12-21,184.250000,186.600006,175.649994,177.550003,167.730347,1786393
2022-12-22,178.100006,180.100006,173.699997,176.550003,166.785645,1679072
2022-12-23,173.550003,175.550003,168.050003,169.000000,159.653214,1032447
2022-12-26,168.550003,178.149994,167.250000,177.100006,167.305222,859073
2022-12-27,178.699997,178.699997,174.899994,177.699997,167.872025,857285
2022-12-28,177.500000,184.949997,176.550003,181.500000,171.461868,1666225
2022-12-29,181.050003,187.000000,179.199997,185.350006,175.098938,964797
2022-12-30,186.649994,188.399994,184.100006,185.649994,175.382339,1553339
2023-01-02,186.500000,187.800003,185.149994,186.250000,175.949158,610996
2023-01-03,186.250000,189.850006,186.250000,187.500000,177.130035,855833
2023-01-04,187.350006,188.600006,181.250000,182.699997,172.595505,1235131
2023-01-05,183.850006,185.550003,181.449997,184.399994,174.201477,1115002
2023-01-06,184.449997,185.199997,181.149994,183.199997,173.067856,723938
2023-01-09,184.100006,187.750000,182.449997,185.250000,175.004471,617605
2023-01-10,185.500000,185.600006,178.250000,180.500000,170.517181,914511
2023-01-11,181.000000,182.300003,177.149994,181.399994,171.367401,662789
2023-01-12,182.199997,183.000000,179.699997,181.800003,171.745285,679106
2023-01-13,181.949997,185.199997,181.300003,184.899994,174.673828,895447
2023-01-16,185.100006,188.000000,184.600006,185.750000,175.476822,970159
